"tau","EL","Ttest"
-0.5,0.9995,0.9995
-0.45,0.999,0.999
-0.4,0.9885,0.9875
-0.35,0.971,0.9705
-0.3,0.937,0.934
-0.25,0.84,0.8385
-0.2,0.7145,0.7105
-0.15,0.516,0.5055
-0.1,0.301,0.2995
-0.05,0.1705,0.1685
0,0.076,0.0725
0.05,0.05,0.048
0.1,0.075,0.074
0.15,0.18,0.175
0.2,0.315,0.3055
0.25,0.4995,0.49
0.3,0.6985,0.6895
0.35,0.836,0.8335
0.4,0.925,0.922
0.45,0.975,0.975
0.5,0.99,0.99
