"tau","EL","Ttest"
-0.5,0,0
-0.45,0,0
-0.4,0,0
-0.35,5e-04,0
-0.3,5e-04,0
-0.25,0.001,5e-04
-0.2,0.002,0
-0.15,0.0045,5e-04
-0.1,0.009,0.003
-0.05,0.02,0.0075
0,0.036,0.0125
0.05,0.0465,0.014
0.1,0.075,0.0325
0.15,0.12,0.061
0.2,0.189,0.0985
0.25,0.2575,0.1475
0.3,0.367,0.2045
0.35,0.451,0.284
0.4,0.581,0.414
0.45,0.6715,0.5025
0.5,0.7735,0.6255
