"tau","EL","Ttest"
-0.5,0.9195,0.916
-0.45,0.8725,0.8665
-0.4,0.7895,0.773
-0.35,0.6395,0.6355
-0.3,0.5535,0.544
-0.25,0.404,0.391
-0.2,0.2735,0.262
-0.15,0.178,0.1675
-0.1,0.1125,0.107
-0.05,0.0595,0.057
0,0.049,0.045
0.05,0.072,0.066
0.1,0.1065,0.1015
0.15,0.179,0.1695
0.2,0.282,0.2735
0.25,0.4115,0.401
0.3,0.544,0.5325
0.35,0.684,0.674
0.4,0.7785,0.77
0.45,0.8475,0.8405
0.5,0.921,0.918
