"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",0.9945
"9",0.6965
"10",0.049
"11",5e-04
"12",0.0545
"13",0.7295
"14",0.9995
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
