"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0.0435
"13",0.727
"14",0.9955
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
