"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",0.999
"8",0.945
"9",0.4745
"10",0.047
"11",0.001
"12",0.04
"13",0.463
"14",0.927
"15",0.998
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
