"tau","EL","Ttest"
-0.5,0.929,0.9535
-0.45,0.877,0.9095
-0.4,0.8355,0.872
-0.35,0.7805,0.824
-0.3,0.6955,0.741
-0.25,0.5955,0.654
-0.2,0.5135,0.576
-0.15,0.375,0.439
-0.1,0.3045,0.352
-0.05,0.1985,0.235
0,0.1145,0.1425
0.05,0.0635,0.0775
0.1,0.0325,0.039
0.15,0.0155,0.024
0.2,0.0055,0.01
0.25,0.003,0.0045
0.3,0.001,0.001
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
