"tau","EL","Ttest"
-0.5,0.9565,0.9545
-0.45,0.936,0.9305
-0.4,0.881,0.8785
-0.35,0.7655,0.7565
-0.3,0.687,0.678
-0.25,0.554,0.546
-0.2,0.4245,0.4115
-0.15,0.2865,0.2745
-0.1,0.204,0.192
-0.05,0.117,0.1045
0,0.0735,0.0645
0.05,0.0575,0.051
0.1,0.0675,0.0595
0.15,0.1105,0.1055
0.2,0.18,0.1645
0.25,0.29,0.2855
0.3,0.422,0.408
0.35,0.554,0.537
0.4,0.6785,0.663
0.45,0.775,0.7615
0.5,0.8695,0.861
