"tau","EL","Ttest"
-0.5,0.661,0.6145
-0.45,0.581,0.5365
-0.4,0.493,0.441
-0.35,0.4425,0.3745
-0.3,0.366,0.3095
-0.25,0.277,0.23
-0.2,0.221,0.1835
-0.15,0.174,0.1345
-0.1,0.121,0.096
-0.05,0.0905,0.0705
0,0.0865,0.0655
0.05,0.065,0.0455
0.1,0.0685,0.0525
0.15,0.1,0.0725
0.2,0.131,0.104
0.25,0.1615,0.136
0.3,0.219,0.183
0.35,0.2875,0.236
0.4,0.348,0.302
0.45,0.425,0.375
0.5,0.495,0.443
