"tau","EL","Ttest"
-0.5,0.8475,0.8745
-0.45,0.7675,0.807
-0.4,0.691,0.7435
-0.35,0.606,0.6605
-0.3,0.4975,0.553
-0.25,0.385,0.4395
-0.2,0.2875,0.332
-0.15,0.19,0.225
-0.1,0.123,0.155
-0.05,0.0795,0.09
0,0.0445,0.048
0.05,0.0585,0.045
0.1,0.0925,0.06
0.15,0.1875,0.13
0.2,0.3045,0.209
0.25,0.4655,0.3675
0.3,0.633,0.536
0.35,0.791,0.705
0.4,0.882,0.8235
0.45,0.9505,0.917
0.5,0.9755,0.9605
