"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",0.9945
"9",0.9065
"10",0.593
"11",0.211
"12",0.048
"13",0.204
"14",0.597
"15",0.9215
"16",0.9955
"17",1
"18",1
"19",1
"20",1
"21",1
