"","x"
"1",0.99
"2",0.982
"3",0.966
"4",0.9145
"5",0.857
"6",0.7385
"7",0.605
"8",0.4345
"9",0.283
"10",0.1785
"11",0.0855
"12",0.057
"13",0.0865
"14",0.1795
"15",0.3745
"16",0.586
"17",0.789
"18",0.92
"19",0.9785
"20",0.994
"21",0.9985
