"tau","EL","Ttest"
-0.5,1,1
-0.45,1,1
-0.4,1,1
-0.35,1,1
-0.3,1,1
-0.25,1,1
-0.2,1,1
-0.15,0.995,0.995
-0.1,0.954,0.9535
-0.05,0.728,0.7275
0,0.3095,0.3105
0.05,0.043,0.043
0.1,0.002,0.002
0.15,0,0
0.2,0,0
0.25,0,0
0.3,0,0
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
