"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",0.9995
"8",0.996
"9",0.937
"10",0.6935
"11",0.283
"12",0.051
"13",0.0025
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
