"tau","EL","Ttest"
-0.5,1,1
-0.45,1,1
-0.4,1,1
-0.35,1,1
-0.3,1,1
-0.25,1,1
-0.2,0.999,1
-0.15,0.9845,0.991
-0.1,0.8735,0.8965
-0.05,0.5755,0.6115
0,0.202,0.2245
0.05,0.041,0.0415
0.1,0.2085,0.1715
0.15,0.66,0.611
0.2,0.947,0.9365
0.25,0.998,0.9975
0.3,1,1
0.35,1,1
0.4,1,1
0.45,1,1
0.5,1,1
