"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",0.993
"7",0.932
"8",0.6945
"9",0.2775
"10",0.057
"11",0.005
"12",0.0485
"13",0.327
"14",0.7545
"15",0.97
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
