"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",0.997
"9",0.7125
"10",0.057
"11",0
"12",0.0435
"13",0.727
"14",0.9955
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
