"tau","EL","Ttest"
-0.5,0.9755,0.982
-0.45,0.952,0.967
-0.4,0.9025,0.924
-0.35,0.826,0.8605
-0.3,0.705,0.755
-0.25,0.5755,0.627
-0.2,0.4005,0.4505
-0.15,0.2505,0.2915
-0.1,0.1325,0.161
-0.05,0.0545,0.067
0,0.0385,0.04
0.05,0.0545,0.0405
0.1,0.132,0.0965
0.15,0.271,0.209
0.2,0.475,0.399
0.25,0.711,0.6515
0.3,0.8795,0.838
0.35,0.962,0.9465
0.4,0.9875,0.983
0.45,0.9975,0.996
0.5,0.9995,0.9995
