"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",0.998
"9",0.95
"10",0.7185
"11",0.305
"12",0.0525
"13",0.004
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
