"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",0.999
"10",0.935
"11",0.4815
"12",0.05
"13",0.0025
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
