"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",0.988
"11",0.5795
"12",0.0445
"13",0.6115
"14",0.996
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
