"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",0.9995
"8",0.982
"9",0.8795
"10",0.569
"11",0.186
"12",0.055
"13",0.223
"14",0.656
"15",0.939
"16",0.9995
"17",1
"18",1
"19",1
"20",1
"21",1
