"tau","EL","Ttest"
-0.5,0.9745,0.9735
-0.45,0.9635,0.962
-0.4,0.9355,0.932
-0.35,0.847,0.8375
-0.3,0.7955,0.787
-0.25,0.671,0.6615
-0.2,0.5535,0.542
-0.15,0.409,0.3975
-0.1,0.293,0.285
-0.05,0.18,0.171
0,0.1145,0.1075
0.05,0.048,0.045
0.1,0.0245,0.022
0.15,0.012,0.011
0.2,0.003,0.003
0.25,0.002,0.0015
0.3,0,0
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
