"","x"
"1",0.999
"2",0.993
"3",0.9855
"4",0.9575
"5",0.9165
"6",0.84
"7",0.7255
"8",0.573
"9",0.397
"10",0.257
"11",0.1375
"12",0.053
"13",0.018
"14",0.005
"15",0.0035
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
