"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",5e-04
"10",0.0055
"11",0.017
"12",0.0455
"13",0.139
"14",0.2635
"15",0.451
"16",0.6145
"17",0.777
"18",0.8955
"19",0.966
"20",0.9895
"21",0.9955
