"tau","EL","Ttest"
-0.5,0.9905,0.9975
-0.45,0.9775,0.989
-0.4,0.9505,0.9675
-0.35,0.9105,0.9405
-0.3,0.839,0.8905
-0.25,0.74,0.803
-0.2,0.6,0.6795
-0.15,0.445,0.523
-0.1,0.2845,0.3585
-0.05,0.1525,0.203
0,0.0875,0.116
0.05,0.056,0.058
0.1,0.0805,0.0595
0.15,0.1755,0.12
0.2,0.3545,0.2575
0.25,0.6125,0.4905
0.3,0.808,0.723
0.35,0.934,0.8975
0.4,0.977,0.959
0.45,0.995,0.9905
0.5,0.999,0.9985
