"tau","EL","Ttest"
-0.5,0.8705,0.9155
-0.45,0.804,0.8595
-0.4,0.744,0.8135
-0.35,0.6775,0.7495
-0.3,0.572,0.6545
-0.25,0.4765,0.5535
-0.2,0.3845,0.4605
-0.15,0.275,0.3395
-0.1,0.2045,0.2615
-0.05,0.1335,0.168
0,0.076,0.098
0.05,0.0595,0.0585
0.1,0.0655,0.0475
0.15,0.127,0.0725
0.2,0.2,0.1175
0.25,0.3555,0.2265
0.3,0.524,0.3765
0.35,0.696,0.5465
0.4,0.821,0.7035
0.45,0.9095,0.838
0.5,0.9575,0.916
