"tau","EL","Ttest"
-0.5,0,0
-0.45,0,0
-0.4,5e-04,5e-04
-0.35,5e-04,5e-04
-0.3,0.001,5e-04
-0.25,0.0035,0.002
-0.2,0.0035,0.0025
-0.15,0.006,0.0055
-0.1,0.015,0.013
-0.05,0.0185,0.015
0,0.0405,0.0325
0.05,0.0595,0.05
0.1,0.078,0.0645
0.15,0.141,0.1245
0.2,0.178,0.1555
0.25,0.248,0.217
0.3,0.3205,0.281
0.35,0.381,0.353
0.4,0.47,0.43
0.45,0.5455,0.505
0.5,0.617,0.578
