"tau","EL","Ttest"
-0.5,1,1
-0.45,1,1
-0.4,0.994,0.994
-0.35,0.9855,0.9855
-0.3,0.9675,0.9675
-0.25,0.9015,0.8975
-0.2,0.8075,0.804
-0.15,0.6325,0.6285
-0.1,0.431,0.422
-0.05,0.246,0.2375
0,0.1205,0.115
0.05,0.0485,0.0475
0.1,0.0165,0.016
0.15,0.0035,0.0035
0.2,0.0015,0.001
0.25,0,0
0.3,0,0
0.35,0,0
0.4,0,0
0.45,0,0
0.5,0,0
