"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",0.994
"10",0.852
"11",0.331
"12",0.0525
"13",0.366
"14",0.9095
"15",0.999
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
