"tau","EL","Ttest"
-0.5,0,0
-0.45,0,0
-0.4,0,0
-0.35,0,0
-0.3,0,0
-0.25,0,0
-0.2,0,0
-0.15,0,0
-0.1,0.0025,0.002
-0.05,0.0035,0.0035
0,0.0215,0.0215
0.05,0.058,0.0555
0.1,0.119,0.118
0.15,0.2765,0.27
0.2,0.435,0.4315
0.25,0.6265,0.6185
0.3,0.7985,0.7925
0.35,0.907,0.9055
0.4,0.9645,0.9625
0.45,0.9895,0.988
0.5,0.9965,0.996
