"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",0.999
"7",0.9575
"8",0.727
"9",0.275
"10",0.051
"11",0.009
"12",0.0515
"13",0.303
"14",0.7145
"15",0.9595
"16",0.997
"17",1
"18",1
"19",1
"20",1
"21",1
