"","x"
"1",0.9995
"2",0.9985
"3",0.9955
"4",0.9865
"5",0.9675
"6",0.91
"7",0.798
"8",0.6255
"9",0.452
"10",0.2515
"11",0.1185
"12",0.0595
"13",0.019
"14",0.0065
"15",0.001
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
