"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",0.9965
"8",0.9055
"9",0.441
"10",0.0515
"11",0.001
"12",0.0535
"13",0.4975
"14",0.955
"15",0.999
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
