"tau","EL","Ttest"
-0.5,1,1
-0.45,1,1
-0.4,1,1
-0.35,1,1
-0.3,1,1
-0.25,0.996,0.996
-0.2,0.9535,0.9535
-0.15,0.7185,0.7175
-0.1,0.3135,0.314
-0.05,0.045,0.045
0,0.005,0.005
0.05,0.047,0.046
0.1,0.297,0.295
0.15,0.703,0.703
0.2,0.951,0.9515
0.25,0.996,0.996
0.3,1,1
0.35,1,1
0.4,1,1
0.45,1,1
0.5,1,1
