"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",0.998
"10",0.8895
"11",0.364
"12",0.0465
"13",0.345
"14",0.8875
"15",0.997
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
