"tau","EL","Ttest"
-0.5,0,0
-0.45,0,0
-0.4,0,0
-0.35,0,0
-0.3,0,0
-0.25,0,0
-0.2,0,0
-0.15,0,0
-0.1,0,0
-0.05,0,0
0,0.0035,0.0035
0.05,0.047,0.046
0.1,0.297,0.295
0.15,0.703,0.703
0.2,0.951,0.9515
0.25,0.996,0.996
0.3,1,1
0.35,1,1
0.4,1,1
0.45,1,1
0.5,1,1
