"tau","EL","Ttest"
-0.5,0.676,0.7105
-0.45,0.6345,0.669
-0.4,0.585,0.619
-0.35,0.5045,0.556
-0.3,0.456,0.497
-0.25,0.399,0.438
-0.2,0.3525,0.384
-0.15,0.29,0.32
-0.1,0.2475,0.2755
-0.05,0.175,0.196
0,0.133,0.15
0.05,0.094,0.11
0.1,0.07,0.0765
0.15,0.049,0.054
0.2,0.0225,0.026
0.25,0.017,0.02
0.3,0.0125,0.0135
0.35,0.0065,0.0065
0.4,0.003,0.0035
0.45,5e-04,5e-04
0.5,5e-04,5e-04
