"tau","EL","Ttest"
-0.5,0.772,0.741
-0.45,0.6945,0.664
-0.4,0.617,0.582
-0.35,0.5555,0.5235
-0.3,0.4855,0.445
-0.25,0.3835,0.3455
-0.2,0.327,0.2855
-0.15,0.251,0.2235
-0.1,0.177,0.154
-0.05,0.13,0.112
0,0.099,0.0875
0.05,0.0565,0.0455
0.1,0.046,0.0365
0.15,0.0195,0.0175
0.2,0.0125,0.009
0.25,0.0095,0.0065
0.3,0.0025,0.002
0.35,0.003,0.003
0.4,0,0
0.45,0,0
0.5,5e-04,0
