"","x"
"1",0.999
"2",0.9965
"3",0.9895
"4",0.9715
"5",0.932
"6",0.8415
"7",0.6915
"8",0.5
"9",0.3255
"10",0.164
"11",0.075
"12",0.047
"13",0.0845
"14",0.169
"15",0.3285
"16",0.485
"17",0.676
"18",0.831
"19",0.9295
"20",0.9695
"21",0.989
