"tau","EL","Ttest"
-0.5,0.564,0.603
-0.45,0.5265,0.5545
-0.4,0.459,0.4965
-0.35,0.3845,0.414
-0.3,0.342,0.3705
-0.25,0.283,0.309
-0.2,0.2435,0.2725
-0.15,0.182,0.199
-0.1,0.1445,0.156
-0.05,0.1195,0.1165
0,0.1,0.0875
0.05,0.092,0.0645
0.1,0.1055,0.0685
0.15,0.139,0.082
0.2,0.1955,0.106
0.25,0.2635,0.154
0.3,0.369,0.207
0.35,0.4525,0.2855
0.4,0.5815,0.4145
0.45,0.6715,0.5025
0.5,0.7735,0.6255
