"tau","EL","Ttest"
-0.5,0.6215,0.585
-0.45,0.54,0.5025
-0.4,0.444,0.417
-0.35,0.382,0.336
-0.3,0.3175,0.278
-0.25,0.241,0.2085
-0.2,0.186,0.163
-0.15,0.137,0.1175
-0.1,0.104,0.088
-0.05,0.084,0.065
0,0.093,0.074
0.05,0.0795,0.065
0.1,0.0935,0.075
0.15,0.148,0.128
0.2,0.1825,0.159
0.25,0.2505,0.219
0.3,0.3215,0.2815
0.35,0.3815,0.3535
0.4,0.47,0.43
0.45,0.5455,0.505
0.5,0.617,0.578
