"tau","EL","Ttest"
-0.5,0.5755,0.62
-0.45,0.537,0.5775
-0.4,0.478,0.523
-0.35,0.4065,0.447
-0.3,0.358,0.3985
-0.25,0.3105,0.342
-0.2,0.272,0.3125
-0.15,0.2095,0.2395
-0.1,0.1765,0.1975
-0.05,0.1295,0.148
0,0.106,0.111
0.05,0.0825,0.079
0.1,0.087,0.0645
0.15,0.11,0.0615
0.2,0.1275,0.0535
0.25,0.1935,0.0755
0.3,0.257,0.109
0.35,0.337,0.149
0.4,0.4645,0.2315
0.45,0.5565,0.315
0.5,0.675,0.435
