group,lb,ub,epsilonG,ELAL,n
All,0.018,0.058,0.03837992,0.04,2174
< 25,0.039,0.111,0.07584777,0.072,646
25 - 45,0.009,0.061,0.03551913,0.052,1281
> 45,-0.107,0.016,-0.04477619,0.123,247
M,0.038,0.081,0.05972662,0.043,1837
F,-0.131,-0.025,-0.07798178,0.106,337
M (< 25),0.073,0.15,0.1120872,0.077,526
F (< 25),-0.171,0.005,-0.08300156,0.176,120
M (25 - 45),0.025,0.08,0.05276392,0.055,1093
F (25 - 45),-0.136,0.005,-0.06473915,0.141,188
M (> 45),-0.098,0.033,-0.03170187,0.131,218
F (> 45),-0.313,0.036,-0.143059,0.349,29
